claim_id,claim_statement,claim_type,journey_stage,supporting_source_ids,counter_source_ids,claude_claim_ids,codex_claim_ids,claude_confidence,codex_confidence,final_confidence,status,adjudication_note
F-CLM-0011,채용 사이트에는 AI Native Engineering팀의 AI Agent 기획자·AI 엔지니어를 포함해 AI Agent 직군 공고가 4건 이상 게시되어 있다(전체 52건 중),F,공통,C-SRC-0143;X-SRC-0128;X-SRC-0129;X-SRC-0130;X-SRC-0131;X-SRC-0136;X-SRC-0137,,C-CLM-0110,X-CLM-0015,H,M,H,채택,X-CLM-0015 수렴(채용=AI 에이전트·HITL 중시 신호 해석 보강)
F-CLM-0012,초보자 대상 기능 자산이 매수·보유·매도 전 여정에 이미 존재한다: 주식 모으기(2년간 160만 명)·소수점 거래·차트주문·트레이딩뷰·스탑로스·시세감지주문·수익률 모으기·팔기·종목별 토론방·주식 선물하기,F,공통,C-SRC-0105;C-SRC-0100;C-SRC-0114;X-SRC-0102;X-SRC-0106;X-SRC-0107;X-SRC-0108;X-SRC-0109;X-SRC-0110;X-SRC-0113;X-SRC-0114;X-SRC-0115;X-SRC-0116;X-SRC-0117;X-SRC-0126;X-SRC-0127,,C-CLM-0111,X-CLM-0012,H,H,H,채택,X-CLM-0012 수렴(기능 목록 상호 보완)
F-CLM-0013,"자사 2024 투자 리포트 기준 미국장 투자자 72%가 수익을 낸 반면 한국장은 48%에 그쳤고, 20대가 전 연령 최저 수익(한국장 -1.4%)을 기록했다",F,공통,C-SRC-0113,,C-CLM-0112,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0014,카카오페이증권은 커먼컴퓨터에 'AI 상담 어드바이저 구축' 업무를 위탁하고 있어 고객 상담 영역의 AI 도입이 진행 중이다,F,공통,C-SRC-0140,,C-CLM-0113,,M,,M,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0015,"2026년 7월 투자매매업(증권) 인가를 획득해 IPO 주관·인수, 공모주 청약, 리테일 채권, 소수점 거래 확대의 법적 토대를 갖췄다",F,공통,C-SRC-0107;X-SRC-0102;X-SRC-0106;X-SRC-0107;X-SRC-0108;X-SRC-0109;X-SRC-0110;X-SRC-0113;X-SRC-0114;X-SRC-0115;X-SRC-0116;X-SRC-0117;X-SRC-0126;X-SRC-0127,,C-CLM-0114,X-CLM-0012,H,H,H,채택,X-CLM-0012 수렴(투자매매업 인가 포함)
F-CLM-0016,"KIND 1Q26 분기보고서에서 연결 영업수익 약 3,003억 원과 카카오페이증권 영업수익 약 1,001억 원, 당기순이익 약 236억 원을 확인했다. 예탁자산 +208% YoY는 2차 보도 수치여서 별도 원문 확인 전 보조 맥락으로만 사용한다.",F,공통,C-SRC-0147;C-SRC-0146;C-SRC-0145;C-SRC-0116;X-SRC-0103;X-SRC-0104;X-SRC-0105;X-SRC-0111;X-SRC-0112;X-SRC-0115,,C-CLM-0115,X-CLM-0011,M,H,M,채택,"WS9 판정 D-04(원문 재확인): KIND 1Q26 분기보고서(X-SRC-0104) 대조 — 연결 영업수익 3,003억·증권 영업수익 1,001억 확인. 단 '영업이익 236억'은 원문상 당기순이익 236억으로 정정. 예탁자산은 10조(26.1 달성)→20조(26.5 보도) 이정표 병존(기준일 구분 필수). +208% YoY는 언론 기준 유지(미대조); Codex 재검증: 236억 원은 영업이익이 아니라 당기순이익으로 정정; 미대조 성장률 때문에 최종 확신도 M"
F-CLM-0017,"카카오페이증권의 고객 대상 AI는 종목 추천·결론 제시형이 아니라 '정보 요약·구조화형'(어땠지·왜지·어쩌지, 어닝콜 요약)으로 설계되어 있으며, 매수·매도 판단 자체는 사용자에게 남긴다",I,매수·매도,C-SRC-0112;C-SRC-0106,,C-CLM-0116,,M,,M,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0018,시장 급변동(서킷브레이커)과 앱 장애가 겹치는 고불안 순간에 초보 투자자는 '지금 팔아야 하나'의 판단 정체와 복잡한 보상 절차라는 이중 부담을 진다는 페인포인트 가설이 성립할 수 있다,H,보유·매도,C-SRC-0121;C-SRC-0141,,C-CLM-0117,,M,,M,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0019,"해외주식 시세는 Nasdaq Basic 기반 실시간이나, 제공이 원활하지 않으면 예고 없이 15분 지연 시세로 전환될 수 있다",F,탐색·매수·매도,C-SRC-0131;X-SRC-0121,,C-CLM-0118,,H,,H,채택,Codex 시세 이용안내(X-SRC-0121) 동일 확인 — 15분 지연 전환 가능성 상호 확인
F-CLM-0020,예탁금 이용료는 30만원 이하 구간에 연 2.50%로 소액 보유자에게 상대적으로 유리하게 설계되어 있다(초과분 연 0.15%),F,진입·보유,C-SRC-0129,,C-CLM-0119,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0021,이번 공개 웹 표본에서 확인한 카카오페이 기술 글은 내부 챗봇·관측성·인프라 사례가 중심이었다. 이것만으로 고객향 투자 AI가 없거나 아직 구축 단계라고 결론낼 수 없다.,I,공통,C-SRC-0148;C-SRC-0149;C-SRC-0118;C-SRC-0119,,C-CLM-0120,,M,,M,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지); Codex 재검증: 검색 표본에서의 미발견과 실제 부재를 구분
F-CLM-0022,"국내 신규 개인투자자는 기존투자자 대비 투자성과가 유의하게 낮다(2020.3~10 기준 거래비용 차감 후 수익률 신규 -1.2% vs 기존 +15.0%, 손실 시현 비중 신규 60% vs 기존 36%).",F,전반,C-SRC-0201;C-SRC-0203;X-SRC-0201;X-SRC-0213;X-SRC-0214,,C-CLM-0201,X-CLM-0004,H,H,H,채택,"X-CLM-0004 수렴(동일 KCMI 원천) — Codex 추가 세부: 비용 전 수익률 신규 5.9% vs 기존 18.8%, 시장 대비 초과수익률 -10.5%/-17.6%, 표본 204,004명 중 신규 29.6%, 신규의 77.4%가 1천만원 이하 계좌"
F-CLM-0023,"처분효과는 국내외 계좌자료에서 관찰된다. Odean의 PGR 0.148/PLR 0.098은 약 1.51배이고, 국내 KCMI의 보유 첫날 매도비율 41%/22%는 약 1.86배이므로 두 수치를 분리해 해석한다.",F,매도,C-SRC-0203;C-SRC-0213;X-SRC-0202;X-SRC-0211;X-SRC-0212,,C-CLM-0202,X-CLM-0005,H,H,H,채택,"X-CLM-0005 수렴 + KCMI 후속 연구 세부(평균 보유 9.67일·중앙값 3일, 보유 첫날 매도율 수익 41% vs 손실 22%, 신규 투자자 처분효과 더 강함); Codex 재검증: 미국 비율을 '약 2배'로 표현한 오류를 1.51배로 정정; soft 404 X-SRC-0210 제거"
F-CLM-0024,Odean 표본에서 매도한 이익 종목은 계속 보유한 손실 종목보다 이후 1년 평균 수익률이 3.4%p 높았다. 이는 표본의 사후 연관이며 개별 초보자의 손실 방치가 그만큼 손해를 유발한다는 인과 추정은 아니다.,F,매도;보유,C-SRC-0213;C-SRC-0212,,C-CLM-0203,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지); Codex 재검증: 관찰된 사후 성과 차이와 개인 인과효과를 구분
F-CLM-0025,"과도한 거래는 수익률을 낮춘다 — 미국 최다거래 가구 연 11.4% vs 시장 17.9%(1991~96), 국내 신규투자자도 거래회전율이 높고 성과가 저조하다.",F,전반,C-SRC-0214;C-SRC-0201,,C-CLM-0204,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0026,행태적 편의(과잉확신·처분효과·복권형 선호·군집거래)는 신규투자자·저연령·소액투자자에게서 더 강하게 나타난다.,F,전반,C-SRC-0203;C-SRC-0201,,C-CLM-0205,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0027,"손실 국면의 의사결정은 이득 국면과 비대칭적이다 — 참조점(매수가) 의존, 손실회피(손실이 이득보다 크게 체감), 손실 영역에서의 위험추구(반사효과).",F,보유;매도,C-SRC-0211;C-SRC-0212,,C-CLM-0206,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0028,투자자는 과거 손실을 보고 매도했던 종목과 매도 후 가격이 오른 종목의 재매수를 회피한다(후회 회피에 의한 재진입 판단 왜곡).,F,재진입,C-SRC-0215,,C-CLM-0207,,M,,M,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0029,"개인투자자 저변이 사상 최대 수준으로 확대 — 주식거래활동계좌 1억877만좌(2026-06-24 기준, 2025년 말 9,828만좌 대비 +1,049만좌), 투자자예탁금 83조9,419억원(2025-12-12 기준).",F,전반,C-SRC-0207;C-SRC-0209;C-SRC-0210,,C-CLM-0208,,M,,M,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0030,"20대의 금융이해력은 취약하며 특히 금융행위 부문이 낮다(성인 전체 65.7점, 20대·70대·저소득·고졸 미만 취약 — 2024 조사).",F,탐색;매수,C-SRC-0204;C-SRC-0205;X-SRC-0204;X-SRC-0205;X-SRC-0206,,C-CLM-0209,X-CLM-0006,H,M,H,채택,"X-CLM-0006 이종 출처 수렴 — 한국금융소비자보호재단 2025 펀드투자자 조사(X-SRC-0204): 설명서 통독 안 함 69.3%/66.4%, 객관지식 정답률 51.3%·20대 44.2%. 서로 다른 조사에서 동일 방향"
F-CLM-0031,"신규 진입은 청년층이 주도하는 경향 — 2020년 신규계좌의 50% 이상이 2030세대, 2026년 상반기에도 2030 신규계좌·잔고가 급증.",F,탐색;매수,C-SRC-0206;C-SRC-0216,,C-CLM-0210,,M,,M,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0032,급등주 추격매수는 평균적으로 손실로 이어진다 — 매수 전 40일 +25.8% 오른 종목을 매수하나 매수 후 40일 누적초과수익률은 -3.1%.,F,매수;재진입,C-SRC-0202;C-SRC-0203,,C-CLM-0211,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0033,초보 투자자는 연령·자산만으로 정하지 않고 진입기간·실전 주문경험·객관지식·자기효능감·행동취약성을 분리한 다차원 제품 가설로 식별한다.,D,전반,C-SRC-0201;C-SRC-0203;C-SRC-0204;C-SRC-0217;X-SRC-0201;X-SRC-0204;X-SRC-0206;X-SRC-0207;X-SRC-0209;X-SRC-0214;X-SRC-0215;X-SRC-0216,,C-CLM-0212,X-CLM-0002,H,M,M,채택,X-CLM-0002(다차원 조작적 정의)·X-CLM-0040(연령·자산 단독 기준 기각) 독립 수렴 — 축 구성 차이(Claude 6축 vs Codex 4축+행동취약)는 합산본 2장에서 병합; Codex 재검증: 축의 방향은 수렴하지만 구성개념과 절단값은 내부 고객 데이터로 검증되지 않음
F-CLM-0034,금융당국·업계도 개인투자자 확대에 따른 투자판단 역량·자기보호 역량 부족을 공식 정책과제로 인식하고 있다.,I,전반,C-SRC-0205;C-SRC-0206,,C-CLM-0213,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0035,"첫 매수 준비형은 신규 유입·금융이해력·추격매수 위험을 근거로 우선 검증할 수 있는 제품 가설이며, 실제 고객 규모와 발생률은 미확인이다.",H,매수,C-SRC-0209;C-SRC-0204;C-SRC-0206;C-SRC-0202,,C-CLM-0214,,H,,M,채택,Codex §2.3 '첫 매수 준비형 포함(근거 중)' 판정과 수렴; Codex 재검증: 검증 완료 세그먼트가 아닌 우선 검증 가설로 하향
F-CLM-0036,보유 중 손실·변동성으로 판단이 막힌 저경험·저자기효능 사용자는 우선 검증 세그먼트다. 계좌행동은 손실 상태를 보여주지만 불안의 원인·유병률은 직접 입증하지 않는다.,H,보유,C-SRC-0211;C-SRC-0201;C-SRC-0202;X-SRC-0002;X-SRC-0202;X-SRC-03022;X-SRC-03066,,C-CLM-0215,X-CLM-0044,H,M,M,채택,X-CLM-0044 독립 수렴 — 양측 모두 손실 보유 국면을 핵심으로 지목; Codex 재검증: 핵심 타깃을 검증된 고객군이 아닌 강한 제품 가설로 한정
F-CLM-0037,매도 판단 막막형은 처분효과와 공개 VOC가 뒷받침하는 우선 검증 가설이다. 행동 자료만으로 막막함의 심리 원인이나 고객 비율을 확정할 수 없다.,H,매도,C-SRC-0213;C-SRC-0203;C-SRC-0212;C-SRC-0214;X-SRC-0002;X-SRC-0202;X-SRC-03022;X-SRC-03066,,C-CLM-0216,X-CLM-0044,H,M,M,채택,X-CLM-0044 독립 수렴 — 매도 판단 막막형을 양측 모두 핵심 세그먼트로 판정; Codex 재검증: 행동 관찰과 심리 원인 진단을 분리
F-CLM-0038,세그먼트 가설 '매도 후 재진입형'은 부분 지지 — 재매수 회피·왜곡(미국 A급 원논문 1건)과 재진입 시 추격매수 위험(국내)은 확인되나 국내 직접 실증은 미확보.,H,재진입,C-SRC-0215;C-SRC-0202,,C-CLM-0217,,M,,M,채택,WS9 판정(쟁점 해소): Codex §2.3 독립 판정 '매도 후 재진입형=백로그(국내 직접 근거 부족)'와 일치 — '후순위(백로그) 확정'으로 해소. 근거 부족이라는 판정 자체는 양측 독립 일치
F-CLM-0039,"카카오페이증권과 토스증권은 별도 증권 전용 소비자 앱 없이 각각 카카오페이·토스 슈퍼앱 내 탭으로 제공되며, 따라서 앱 리뷰 VOC는 슈퍼앱 리뷰에서 증권 관련 리뷰를 필터링해야 수집 가능하다",F,전반,C-SRC-0300;C-SRC-0301;C-SRC-0302;C-SRC-0303;C-SRC-0304,,C-CLM-0300,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0040,"수집 표본(카카오페이 81건) 내 최다 테마는 주문·체결 UX 문제(C2)와 정보 부족·표시 미흡(C4) 각 18건, 이어 용어·구조 이해 어려움(C6) 15건, 앱 안정성·장애(C1) 14건이다(복수 태그)",F,전반,C-SRC-0300;C-SRC-0301;X-SRC-03001;X-SRC-03002;X-SRC-03003;X-SRC-03004;X-SRC-03005;X-SRC-03006;X-SRC-03007;X-SRC-03008;X-SRC-03009;X-SRC-03010;X-SRC-03011;X-SRC-03012;X-SRC-03013;X-SRC-03014;X-SRC-03015;X-SRC-03016;X-SRC-03017;X-SRC-03018;X-SRC-03019;X-SRC-03020;X-SRC-03021;X-SRC-03022;X-SRC-03023;X-SRC-03024;X-SRC-03025;X-SRC-03026;X-SRC-03027;X-SRC-03028;X-SRC-03029;X-SRC-03030;X-SRC-03031;X-SRC-03032;X-SRC-03033;X-SRC-03034;X-SRC-03035;X-SRC-03036;X-SRC-03037;X-SRC-03038;X-SRC-03039;X-SRC-03040;X-SRC-03041;X-SRC-03042;X-SRC-03043;X-SRC-03044;X-SRC-03045;X-SRC-03046;X-SRC-03047;X-SRC-03048;X-SRC-03049;X-SRC-03050;X-SRC-03051;X-SRC-03052;X-SRC-03053;X-SRC-03054;X-SRC-03055;X-SRC-03056;X-SRC-03057;X-SRC-03058;X-SRC-03059;X-SRC-03060;X-SRC-03061;X-SRC-03062;X-SRC-03064;X-SRC-03065;X-SRC-03066;X-SRC-03067;X-SRC-03068;X-SRC-03069;X-SRC-03070;X-SRC-03071;X-SRC-03072;X-SRC-03073;X-SRC-03074;X-SRC-03075;X-SRC-03076;X-SRC-03077;X-SRC-03078;X-SRC-03079;X-SRC-03080;X-SRC-03081;X-SRC-03082;X-SRC-03083;X-SRC-03084;X-SRC-03085;X-SRC-03086;X-SRC-03088;X-SRC-03089;X-SRC-03090;X-SRC-03091;X-SRC-03092;X-SRC-03093;X-SRC-03094;X-SRC-03095;X-SRC-03096;X-SRC-03097;X-SRC-03098;X-SRC-03099;X-SRC-03100;X-SRC-03101;X-SRC-03102;X-SRC-03103;X-SRC-03104;X-SRC-03105;X-SRC-03106;X-SRC-03107;X-SRC-03108;X-SRC-03109;X-SRC-03110;X-SRC-03111;X-SRC-03112;X-SRC-03113;X-SRC-03114;X-SRC-03115;X-SRC-03116;X-SRC-03117;X-SRC-03118;X-SRC-03119;X-SRC-03120,,C-CLM-0301,X-CLM-0007,H,M,M,채택,X-CLM-0007 독립 표본(정제 118건) 수렴 — 테마 방향 일치(정보설명·주문실행·정산·탐색·장애). 별도 수집 표본에서 동일 신호; Codex 재검증: Codex VOC의 human_* 값은 자동 태그를 기본 복사한 값이므로 독립 인적 검수로 사용하지 않음; 표본 내 기계 집계로만 해석
F-CLM-0041,"카카오페이 리뷰에는 앱 장애·렉으로 '매도 시점을 놓쳐 손해를 봤다'는 호소가 2022년부터 2026년까지 반복 등장하며, 특히 연휴 직후·트래픽 집중 시점(2025-10, 2026-01~03)에 집중된다",F,보유중·매도,C-SRC-0300;C-SRC-0301,,C-CLM-0302,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0042,"초보 이용자는 미수거래 자동 발생(토스), 원화+달러 합산·미수 기본 설정(카카오페이), 소수점 주문의 10분 단위 체결, 자동 환전 등 위험·비용이 '사전 고지 없이' 발생했다고 인식한다 — 위험 고지 UX 공백",I,매수·보유중,C-SRC-0300;C-SRC-0301;C-SRC-0302;C-SRC-0303,,C-CLM-0303,,M,,M,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0043,"'사는 것보다 파는 것이 어렵다'는 매도 판단의 막막함이 국내 지식iN 질문, 앱 리뷰, 해외 레딧 게시물에서 공통적으로 관찰된다",I,매도,C-SRC-0310;C-SRC-0330;C-SRC-0331;C-SRC-0332;C-SRC-0333;C-SRC-0334;C-SRC-0335;C-SRC-0336;C-SRC-0337;C-SRC-0338;C-SRC-0339;C-SRC-0300;X-SRC-0002;X-SRC-0202;X-SRC-03022;X-SRC-03066,,C-CLM-0304,X-CLM-0044,M,M,M,채택,WS9 상향: 독립 수집 VOC(X-CLM-0044·X-SRC-03022 등)에서 매도 국면 막막함 동일 관찰; Codex 재검증: 공개 자발응답의 질적 수렴이며 초보 여부와 유병률은 미확인
F-CLM-0044,"긍정 리뷰(표본의 약 23%)의 공통 요인은 '주식 입문이 쉽고 UI가 직관적'이라는 점으로, 카카오페이·토스 모두에서 동일하다",F,매수전·전반,C-SRC-0300;C-SRC-0301;C-SRC-0302;C-SRC-0303,,C-CLM-0305,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0045,"리뷰 속 개선 요구는 '결론(추천) 대행'이 아니라 판단에 필요한 정보의 표시·설명(수익률 계산 기준, 환율·이중통화 표시, 세금·수수료, 시장 운영시간, 괴리율, 배당 정보)에 집중된다",I,전반,C-SRC-0300;C-SRC-0301;C-SRC-0302;C-SRC-0303;X-SRC-03001;X-SRC-03002;X-SRC-03003;X-SRC-03004;X-SRC-03005;X-SRC-03006;X-SRC-03007;X-SRC-03008;X-SRC-03009;X-SRC-03010;X-SRC-03011;X-SRC-03012;X-SRC-03013;X-SRC-03014;X-SRC-03015;X-SRC-03016;X-SRC-03017;X-SRC-03018;X-SRC-03019;X-SRC-03020;X-SRC-03021;X-SRC-03022;X-SRC-03023;X-SRC-03024;X-SRC-03025;X-SRC-03026;X-SRC-03027;X-SRC-03028;X-SRC-03029;X-SRC-03030;X-SRC-03031;X-SRC-03032;X-SRC-03033;X-SRC-03034;X-SRC-03035;X-SRC-03036;X-SRC-03037;X-SRC-03038;X-SRC-03039;X-SRC-03040;X-SRC-03041;X-SRC-03042;X-SRC-03043;X-SRC-03044;X-SRC-03045;X-SRC-03046;X-SRC-03047;X-SRC-03048;X-SRC-03049;X-SRC-03050;X-SRC-03051;X-SRC-03052;X-SRC-03053;X-SRC-03054;X-SRC-03055;X-SRC-03056;X-SRC-03057;X-SRC-03058;X-SRC-03059;X-SRC-03060;X-SRC-03061;X-SRC-03062;X-SRC-03064;X-SRC-03065;X-SRC-03066;X-SRC-03067;X-SRC-03068;X-SRC-03069;X-SRC-03070;X-SRC-03071;X-SRC-03072;X-SRC-03073;X-SRC-03074;X-SRC-03075;X-SRC-03076;X-SRC-03077;X-SRC-03078;X-SRC-03079;X-SRC-03080;X-SRC-03081;X-SRC-03082;X-SRC-03083;X-SRC-03084;X-SRC-03085;X-SRC-03086;X-SRC-03088;X-SRC-03089;X-SRC-03090;X-SRC-03091;X-SRC-03092;X-SRC-03093;X-SRC-03094;X-SRC-03095;X-SRC-03096;X-SRC-03097;X-SRC-03098;X-SRC-03099;X-SRC-03100;X-SRC-03101;X-SRC-03102;X-SRC-03103;X-SRC-03104;X-SRC-03105;X-SRC-03106;X-SRC-03107;X-SRC-03108;X-SRC-03109;X-SRC-03110;X-SRC-03111;X-SRC-03112;X-SRC-03113;X-SRC-03114;X-SRC-03115;X-SRC-03116;X-SRC-03117;X-SRC-03118;X-SRC-03119;X-SRC-03120,,C-CLM-0306,X-CLM-0007,M,M,M,채택,WS9 상향: X-CLM-0007 독립 표본에서 동일 결론 — 개선 요구는 결론 대행이 아닌 정보 표시·설명; Codex 재검증: 방향성 신호는 유지하되 자동 분류의 독립 인적 검수 주장을 철회
F-CLM-0046,급락·장애·첫 매도 등 고불안 순간에 정보·안내가 부족하면 초보 투자자의 판단 정체와 서비스 불신이 증폭된다,H,보유중·매도,C-SRC-0300;C-SRC-0301;C-SRC-0302;C-SRC-0303;C-SRC-0330;C-SRC-0331;C-SRC-0332;C-SRC-0333;C-SRC-0334;C-SRC-0335;C-SRC-0336;C-SRC-0337;C-SRC-0338;C-SRC-0339,,C-CLM-0307,,M,,M,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
